data;time;temp;vendas
42370;00:00:00;23,8;14,20923845
42370;01:00:00;23;13,9582873
42370;02:00:00;22,5;13,71676794
42370;03:00:00;22,2;13,63477575
42370;04:00:00;21,7;13,47386227
42370;05:00:00;21,4;13,34973491
42370;06:00:00;21,5;13,4627438
42370;07:00:00;21,5;13,40900038
42370;08:00:00;21,5;13,47621328
42370;09:00:00;21,8;13,58746657
42370;10:00:00;22,6;13,7485055
42370;11:00:00;23;13,98623181
42370;12:00:00;24,9;14,44631286
42370;13:00:00;26;14,80504524
42370;14:00:00;27,1;15,21928158
42370;15:00:00;28,1;15,41664213
42370;16:00:00;27,9;15,39010921
42370;17:00:00;28,4;15,47122749
42370;18:00:00;30,2;16,03876062
42370;19:00:00;26,2;14,98367911
42370;20:00:00;22,4;13,67128465
42370;21:00:00;21,1;13,30498725
42370;22:00:00;22,2;13,74429143
42370;23:00:00;21,5;13,47621328
42371;00:00:00;21,5;13,38220918
42371;01:00:00;21,8;13,58746657
42371;02:00:00;22;13,57062075
42371;03:00:00;22,1;13,58913707
42371;04:00:00;22,2;13,60753345
42371;05:00:00;22,2;13,74429143
42371;06:00:00;21,9;13,57911483
42371;07:00:00;21,4;13,36309133
42371;08:00:00;21,4;13,4300741
42371;09:00:00;21,6;13,52235851
42371;10:00:00;21,6;13,52235851
42371;11:00:00;22,1;13,71199131
42371;12:00:00;23;13,91647518
42371;13:00:00;24,3;14,2923943
42371;14:00:00;24,3;14,36403522
42371;15:00:00;26,1;14,90905295
42371;16:00:00;24,6;14,48512308
42371;17:00:00;26,7;15,07162013
42371;18:00:00;23,1;13,98988231
42371;19:00:00;22,4;13,75355893
42371;20:00:00;23;13,87478832
42371;21:00:00;22,8;13,90880116
42371;22:00:00;21,9;13,64718042
42371;23:00:00;21,1;13,34496215
42372;00:00:00;20,9;13,31878631
42372;01:00:00;20,7;13,13347632
42372;02:00:00;21;13,29865834
42372;03:00:00;21,1;13,29168892
42372;04:00:00;20,5;13,09335217
42372;05:00:00;20,8;13,17967674
42372;06:00:00;20,7;13,22573317
42372;07:00:00;20,6;13,12659946
42372;08:00:00;20,7;13,18611543
42372;09:00:00;20,6;13,20559581
42372;10:00:00;21;13,27208761
42372;11:00:00;21,9;13,59270073
42372;12:00:00;22,5;13,81312216
42372;13:00:00;23,2;13,96543826
42372;14:00:00;23,3;14,05287646
42372;15:00:00;22,3;13,70781126
42372;16:00:00;23,9;14,19766453
42372;17:00:00;23,5;14,01714796
42372;18:00:00;22,9;13,95450756
42372;19:00:00;22,8;13,92271691
42372;20:00:00;22,5;13,79931595
42372;21:00:00;21,9;13,59270073
42372;22:00:00;21,4;13,45696113
42372;23:00:00;20;12,88721835
42373;00:00:00;20,3;13,01360366
42373;01:00:00;20,1;13,01152195
42373;02:00:00;20,1;13,01152195
42373;03:00:00;19,8;12,88415457
42373;04:00:00;19,9;12,90511432
42373;05:00:00;19,6;12,77777439
42373;06:00:00;19;12,6101787
42373;07:00:00;18,6;12,44620221
42373;08:00:00;18,5;12,48597575
42373;09:00:00;18,8;12,60368736
42373;10:00:00;19,6;12,81616527
42373;11:00:00;20,3;13,03965691
42373;12:00:00;21,9;13,60630023
42373;13:00:00;23,5;14,1297349
42373;14:00:00;24,1;14,21674437
42373;15:00:00;25;14,62201121
42373;16:00:00;26,2;14,89404621
42373;17:00:00;26,3;14,87894161
42373;18:00:00;24,6;14,49961545
42373;19:00:00;23,9;14,18347396
42373;20:00:00;22,9;13,84331686
42373;21:00:00;22,3;13,70781126
42373;22:00:00;21,3;13,35719945
42373;23:00:00;21,1;13,38505715
42374;00:00:00;20,5;13,05413097
42374;01:00:00;20;12,91301858
42374;02:00:00;19,7;12,79890309
42374;03:00:00;19;12,63542429
42374;04:00:00;18,7;12,50601749
42374;05:00:00;18,7;12,46855566
42374;06:00:00;18,5;12,48597575
42374;07:00:00;18,7;12,53105456
42374;08:00:00;18,5;12,37410613
42374;09:00:00;18,3;12,40303633
42374;10:00:00;18,9;12,58812822
42374;11:00:00;21,1;13,2651321
42374;12:00:00;23,1;14,01789007
42374;13:00:00;24,8;14,5028041
42374;14:00:00;25,3;14,65445853
42374;15:00:00;26,6;14,99711672
42374;16:00:00;27,6;15,38035274
42374;17:00:00;27,9;15,32867173
42374;18:00:00;29,2;15,85459592
42374;19:00:00;28,7;15,61853385
42374;20:00:00;27,2;15,26377974
42374;21:00:00;25,5;14,64132803
42374;22:00:00;23,4;14,05613603
42374;23:00:00;21,8;13,58746657
42375;00:00:00;21,1;13,37167878
42375;01:00:00;20,3;12,98760246
42375;02:00:00;20,1;12,93368656
42375;03:00:00;20,3;13,02662377
42375;04:00:00;19,6;12,81616527
42375;05:00:00;19,1;12,70810579
42375;06:00:00;18,7;12,48103045
42375;07:00:00;18,6;12,40891956
42375;08:00:00;19,1;12,63208544
42375;09:00:00;19,3;12,7008481
42375;10:00:00;19,6;12,81616527
42375;11:00:00;21;13,21910529
42375;12:00:00;23,4;14,04208692
42375;13:00:00;24,3;14,39279204
42375;14:00:00;26,3;14,98345958
42375;15:00:00;28,5;15,54616263
42375;16:00:00;30,6;16,23007028
42375;17:00:00;30,7;16,14428393
42375;18:00:00;32;16,51352883
42375;19:00:00;28,9;15,65949452
42375;20:00:00;27;15,0991208
42375;21:00:00;25,8;14,84916518
42375;22:00:00;24,7;14,50127163
42375;23:00:00;23,8;14,12423828
42376;00:00:00;22,8;13,79797464
42376;01:00:00;22,4;13,79488156
42376;02:00:00;22,2;13,66207259
42376;03:00:00;21,2;13,41807976
42376;04:00:00;20,5;13,17214843
42376;05:00:00;20,1;12,93368656
42376;06:00:00;19,8;12,88415457
42376;07:00:00;19,4;12,74784294
42376;08:00:00;19,3;12,6881536
42376;09:00:00;19,4;12,79893643
42376;10:00:00;21,1;13,27840387
42376;11:00:00;23,7;14,12149374
42376;12:00:00;25,8;14,78988716
42376;13:00:00;28,7;15,64980217
42376;14:00:00;29,2;15,69684006
42376;15:00:00;30,3;16,08249083
42376;16:00:00;31;16,19389036
42376;17:00:00;31,5;16,39493859
42376;18:00:00;30,5;16,18621262
42376;19:00:00;31,4;16,35143364
42376;20:00:00;29,3;15,75631354
42376;21:00:00;26,9;15,10012068
42376;22:00:00;25,8;14,73084577
42376;23:00:00;25,3;14,65445853
42377;00:00:00;24,8;14,54637784
42377;01:00:00;24,5;14,36793951
42377;02:00:00;24,4;14,29439913
42377;03:00:00;23,7;14,19227802
42377;04:00:00;23,6;14,11861873
42377;05:00:00;23,2;13,92360473
42377;06:00:00;22;13,66594835
42377;07:00:00;21,8;13,5603188
42377;08:00:00;21,7;13,52786565
42377;09:00:00;21,8;13,6146687
42377;10:00:00;23;13,98623181
42377;11:00:00;25,9;14,76057414
42377;12:00:00;27,6;15,34962277
42377;13:00:00;29,4;15,9110971
42377;14:00:00;30,3;16,08249083
42377;15:00:00;31,9;16,53614878
42377;16:00:00;31,9;16,48661467
42377;17:00:00;32,1;16,57351665
42377;18:00:00;31,6;16,37285039
42377;19:00:00;29,2;15,7913042
42377;20:00:00;26,5;14,98268272
42377;21:00:00;25,7;14,74523158
42377;22:00:00;24,3;14,36403522
42377;23:00:00;23,3;14,0247988
42378;00:00:00;23,5;14,10150367
42378;01:00:00;23,1;13,90619433
42378;02:00:00;22,9;13,82948046
