data,temp,vendas,day,month,year,hour,morning,afternoon,nigth,dawn,tempMean,tempMorningMean,tempAfternoonMean,tempNigthMean,totalSales,tempDawnMean
2016-01-01 00:00:00,23.8,14.20923845,1,1,2016,0,0,0,0,1,21.537096774193557,,,,9968.195728245993,19.840860215053763
2016-01-01 01:00:00,23.0,13.9582873,1,1,2016,1,0,0,0,1,21.537096774193557,,,,9968.195728245993,19.840860215053763
2016-01-01 02:00:00,22.5,13.71676794,1,1,2016,2,0,0,0,1,21.537096774193557,,,,9968.195728245993,19.840860215053763
2016-01-01 03:00:00,22.2,13.63477575,1,1,2016,3,0,0,0,1,21.537096774193557,,,,9968.195728245993,19.840860215053763
2016-01-01 04:00:00,21.7,13.47386227,1,1,2016,4,0,0,0,1,21.537096774193557,,,,9968.195728245993,19.840860215053763
2016-01-01 05:00:00,21.4,13.34973491,1,1,2016,5,0,0,0,1,21.537096774193557,,,,9968.195728245993,19.840860215053763
2016-01-01 06:00:00,21.5,13.4627438,1,1,2016,6,1,0,0,0,21.537096774193557,19.16666666666666,,,9968.195728245993,
2016-01-01 07:00:00,21.5,13.40900038,1,1,2016,7,1,0,0,0,21.537096774193557,19.16666666666666,,,9968.195728245993,
2016-01-01 08:00:00,21.5,13.47621328,1,1,2016,8,1,0,0,0,21.537096774193557,19.16666666666666,,,9968.195728245993,
2016-01-01 09:00:00,21.8,13.58746657,1,1,2016,9,1,0,0,0,21.537096774193557,19.16666666666666,,,9968.195728245993,
2016-01-01 10:00:00,22.6,13.7485055,1,1,2016,10,1,0,0,0,21.537096774193557,19.16666666666666,,,9968.195728245993,
2016-01-01 11:00:00,23.0,13.98623181,1,1,2016,11,1,0,0,0,21.537096774193557,19.16666666666666,,,9968.195728245993,
2016-01-01 12:00:00,24.9,14.44631286,1,1,2016,12,0,1,0,0,21.537096774193557,,24.07150537634408,,9968.195728245993,
2016-01-01 13:00:00,26.0,14.80504524,1,1,2016,13,0,1,0,0,21.537096774193557,,24.07150537634408,,9968.195728245993,
2016-01-01 14:00:00,27.1,15.21928158,1,1,2016,14,0,1,0,0,21.537096774193557,,24.07150537634408,,9968.195728245993,
2016-01-01 15:00:00,28.1,15.41664213,1,1,2016,15,0,1,0,0,21.537096774193557,,24.07150537634408,,9968.195728245993,
2016-01-01 16:00:00,27.9,15.39010921,1,1,2016,16,0,1,0,0,21.537096774193557,,24.07150537634408,,9968.195728245993,
2016-01-01 17:00:00,28.4,15.47122749,1,1,2016,17,0,1,0,0,21.537096774193557,,24.07150537634408,,9968.195728245993,
2016-01-01 18:00:00,30.2,16.03876062,1,1,2016,18,0,0,1,0,21.537096774193557,,,23.069354838709696,9968.195728245993,
2016-01-01 19:00:00,26.2,14.98367911,1,1,2016,19,0,0,1,0,21.537096774193557,,,23.069354838709696,9968.195728245993,
2016-01-01 20:00:00,22.4,13.67128465,1,1,2016,20,0,0,1,0,21.537096774193557,,,23.069354838709696,9968.195728245993,
2016-01-01 21:00:00,21.1,13.30498725,1,1,2016,21,0,0,1,0,21.537096774193557,,,23.069354838709696,9968.195728245993,
2016-01-01 22:00:00,22.2,13.74429143,1,1,2016,22,0,0,1,0,21.537096774193557,,,23.069354838709696,9968.195728245993,
2016-01-01 23:00:00,21.5,13.47621328,1,1,2016,23,0,0,1,0,21.537096774193557,,,23.069354838709696,9968.195728245993,
2016-02-01 00:00:00,21.5,13.38220918,1,2,2016,0,0,0,0,1,22.233189655172417,,,,9489.493658410993,20.88563218390804
2016-02-01 01:00:00,21.8,13.58746657,1,2,2016,1,0,0,0,1,22.233189655172417,,,,9489.493658410993,20.88563218390804
2016-02-01 02:00:00,22.0,13.57062075,1,2,2016,2,0,0,0,1,22.233189655172417,,,,9489.493658410993,20.88563218390804
2016-02-01 03:00:00,22.1,13.58913707,1,2,2016,3,0,0,0,1,22.233189655172417,,,,9489.493658410993,20.88563218390804
2016-02-01 04:00:00,22.2,13.60753345,1,2,2016,4,0,0,0,1,22.233189655172417,,,,9489.493658410993,20.88563218390804
2016-02-01 05:00:00,22.2,13.74429143,1,2,2016,5,0,0,0,1,22.233189655172417,,,,9489.493658410993,20.88563218390804
2016-02-01 06:00:00,21.9,13.57911483,1,2,2016,6,1,0,0,0,22.233189655172417,20.043103448275872,,,9489.493658410993,
2016-02-01 07:00:00,21.4,13.36309133,1,2,2016,7,1,0,0,0,22.233189655172417,20.043103448275872,,,9489.493658410993,
2016-02-01 08:00:00,21.4,13.4300741,1,2,2016,8,1,0,0,0,22.233189655172417,20.043103448275872,,,9489.493658410993,
2016-02-01 09:00:00,21.6,13.52235851,1,2,2016,9,1,0,0,0,22.233189655172417,20.043103448275872,,,9489.493658410993,
